navn,symbol,storkreds,kmeans,x,y,x_pca,y_pca,y2_pca
Abbas Razvi,B,Københavns Omegns Storkreds,Å,-23.657970000000002,12.99826,-5.292348657978438,1.6693152711045578,-1.393208060692771
Aksel Rosager Johansen,Ø,Vestjyllands Storkreds,Ø,-37.002132,-4.839615,-7.487408032181353,1.7936377124490583,1.78615996788012
Aleksander Myrhøj,F,Østjyllands Storkreds,F,-28.089304,-6.173600700000001,-7.42786432462137,-1.1414455488787694,0.8258757756789282
Alex Rosenbæk,O,Vestjyllands Storkreds,O,26.042374,-9.555613000000001,3.978779662020185,-3.557744734965302,2.6959093205167046
Alex Ahrendtsen,O,Fyns Storkreds,O,28.631378,-17.537928,6.176783367842462,-4.1067086450616195,1.7683393151543165
Alex Vanopslagh,I,Vestjyllands Storkreds,I,33.426884,17.354917999999998,6.980894737253014,5.84928543750315,1.122309857182822
Alexander Grandt,S,Fyns Storkreds,S,-15.164821,-9.585173,-4.372731215625939,-1.629551325187552,0.6196701080959783
Ali Aminali,C,Østjyllands Storkreds,V,23.82722,-11.012258000000001,5.414694871092128,-2.430138980937987,-0.8186432563155442
Allan Norré Pedersen,F,Nordjyllands Storkreds,Å,-28.88908,2.0517273,-7.4393567732618715,1.2628678004425322,-0.7526114378323955
Allon  Hein Sørensen,Å,Nordsjællands Storkreds,F,-24.816451999999998,1.483824,-7.009268317647276,1.0896548385026499,1.2490407056912518
Amalie Mørkøre Højsholt,B,Nordjyllands Storkreds,S,-10.372631,12.3996,-3.159118299931449,-2.5301202280330983,0.17042874737442198
Anders Samuelsen,I,Nordsjællands Storkreds,I,33.249733,15.285997,7.4609840426465075,4.9872232643491055,0.13400730550068465
Anders Kronborg,S,Sydjyllands Storkreds,S,-12.132408,-10.921816,-3.1994238822480194,-3.0339607195009832,-0.22892811645206143
Anders Houdam Andreasen,S,Vestjyllands Storkreds,F,-21.176975,-7.538863,-5.568329464513258,-1.8289068466487814,-0.07128292524814626
Anders Funch Engelstad,F,Fyns Storkreds,F,-29.302809999999997,-0.47899482,-5.822279234100361,-0.13846074237850697,0.5580915889880743
Anders Johansson,C,Københavns Storkreds,C,15.021526000000001,2.970796,5.285992604309724,-1.3759584026547187,-3.7494879510203845
Anders Krojgaard Lund,C,Østjyllands Storkreds,V,26.519606,1.9886240000000002,8.869696581831692,0.4749529814437086,-1.7704572116713753
Anders  Stjernholm,Å,Københavns Omegns Storkreds,F,-24.346617000000002,0.48793063,-7.6580856135398685,0.8570092162111228,0.6895772326385137
Anders Bøge,F,Vestjyllands Storkreds,F,-22.175774,-8.290796,-4.9279084846769905,-1.3315655598187934,-0.655108087471046
Anders Udengaard,F,Vestjyllands Storkreds,F,-24.732471,2.8036513,-6.6686788748873695,1.3369811482851963,0.4677086580937446
Andreas Pourkamali,B,Københavns Storkreds,Å,-24.061615,3.7146995,-7.345565182215218,2.3100425169029286,-1.100441930067987
Andreas Steenberg,B,Vestjyllands Storkreds,B,-15.211654000000001,7.790217999999999,-5.235686215220945,1.0630973224228566,-1.9785253918342687
Andreas Skielboe,Å,Vestjyllands Storkreds,Å,-26.825043,12.492813,-5.739497244185946,0.11742059544806452,-1.4410696356422819
Andreas Peters-Lehm,K,Nordsjællands Storkreds,B,-17.847479,12.581903,-1.8814033166901765,3.7110342877385505,-2.745965744691296
Andreas Brøgger Albertsen,F,Vestjyllands Storkreds,F,-30.558401,-2.6912947,-6.683187684490636,-1.3284841744685512,0.708867507620341
Ane Halsboe-Jørgensen,S,Nordjyllands Storkreds,S,-10.559585,-9.563324,-3.1842085852758832,-5.4697330547657215,-0.8356966755164554
Anette Skafte,O,Københavns Omegns Storkreds,O,29.167168,-12.836882000000001,5.758018183666528,-4.629181590698912,3.777021141585236
Anette Svindborg,O,Vestjyllands Storkreds,O,29.791828000000002,-8.928215,3.3814527062145032,-5.087490788324773,3.683630146829103
Anette Abildgaard Larsen,C,Sydjyllands Storkreds,C,15.812551999999998,2.5554402,6.436867907203385,-1.1221295501555018,-3.365725272404378
Anette Prang,E,Københavns Omegns Storkreds,D,38.81269,5.114916,3.5748514139515937,1.004443950801522,2.155165020348065
Anja Smedstrup Christensen,K,Østjyllands Storkreds,K,-8.366918,6.0653553,-1.4860809054494664,0.42469554229554557,-2.210216544043528
Anna Brændemose,F,Østjyllands Storkreds,F,-29.281599,-5.2558737,-8.166221304720613,-0.02743592138833106,2.4283869950392725
Anna Ockelmann,F,Nordsjællands Storkreds,F,-29.735498,-3.8264690000000003,-8.154482194254559,0.5679676199816316,1.9624368353171713
